id,name,soupFace,soupBase,fewShots,clues,difficulty,sourceID
6226ba03,阳台上的花,我从妈妈房间的阳台摘了一朵花送给妹妹，妹妹却尖叫着跑开了。,妈妈生前最爱养花，她患有一种罕见的疾病，需要定期服用一种特殊药物维持生命，但药物会让她的皮肤逐渐植物化。为了省钱供我和妹妹上学，妈妈偷偷减少了药量。最终她的身体完全植物化，变成了一株盛开的花。爸爸为了继续领取她的医疗补助，隐瞒了她的死亡，将她的‘植物身体’放在阳台照顾。那天我看到阳台上开出了新品种的花，以为是妈妈生前培育的，便摘了一朵送给妹妹。妹妹知道真相，所以才会害怕。,问题1:妈妈是自然死亡吗？回答1:不是; 问题2:那朵花和普通花有区别吗？回答2:有; 问题3:爸爸的行为合法吗？回答3:不是; 问题4:妹妹知道更多真相吗？回答4:是; 问题5:花的颜色重要吗？回答5:是,妈妈的疾病需要昂贵药物治疗; 阳台上的植物不需要浇水; 妹妹最近开始害怕进妈妈房间; 爸爸经常偷偷查看医疗补助到账信息; 那朵花的花瓣上有类似血管的纹路; 妈妈最后的日记提到‘身体变得僵硬’; 阳台上从未出现过这种花品种; 花的香气和妈妈生前用的香水一样; 妹妹曾看到爸爸对着那株植物说话; 摘花时花茎渗出了红色液体,3,4afc3d85
0a700bf5,妈妈的相框,我从妈妈的梳妆台拿了个相框给爸爸，爸爸却崩溃大哭。,妈妈生前是个摄影师，总爱用相框装裱我们的全家福。她死后，爸爸把她的骨灰封存进她最爱的相框里，放在梳妆台上。那天我看到相框里长出了一朵小花，以为是妈妈留给我的礼物，便开心地拿给爸爸看。后来才知道，那是我藏在相框后面种子袋里的花种，吸收了妈妈的骨灰养分而发芽开花。但爸爸说，这是妈妈用另一种方式在守护我们。,问题1:妈妈生前是做什么的？ 回答1:摄影师; 问题2:相框里原本放的是什么？ 回答2:全家福照片; 问题3:相框后来用来装什么？ 回答3:妈妈的骨灰; 问题4:小花是怎么长出来的？ 回答4:种子吸收了骨灰养分; 问题5:爸爸为什么崩溃？ 回答5:发现亡妻最后的痕迹被触动,妈妈有收集相框的爱好; 梳妆台是妈妈的专属区域; 相框最近被移动过位置; 爸爸经常对着梳妆台发呆; 相框玻璃内侧有奇怪的粉末; 小花是从相框内部长出来的; 孩子曾经在相框后藏过种子; 妈妈生前最喜欢白玫瑰; 长出来的花正是白玫瑰; 爸爸看到花后把相框抱在怀里,3,4afc3d85
05226fe3,妈妈的钢琴,我偷偷弹了妈妈的钢琴，但听到琴声的爸爸却突然崩溃大哭。,妈妈生前是钢琴家，在一次演出事故中为保护观众而重伤。临终前嘱咐爸爸拆掉钢琴防止我步她后尘。爸爸将钢琴封存在阁楼，但妈妈其实偷偷在琴键夹层藏了种子。我弹琴时触发了机关，藏在琴键里的花种洒落发芽——这些是妈妈最爱的白玫瑰，她说玫瑰绽放时就是她在弹奏安魂曲。,钢琴是妈妈的吗？:是; 妈妈还活着吗？:不是; 钢琴被故意藏起来了吗？:是; 弹钢琴会导致危险吗？:不是; 琴键里有特殊机关吗？:是,阁楼常年上锁但最近有翻动痕迹; 妈妈去世与音乐有关; 爸爸严禁任何人接近阁楼; 我见过妈妈在琴键上撒过闪亮粉末; 琴声响起时伴随沙沙的落籽声; 妈妈总说白玫瑰是她的第二生命; 琴凳夹层有园艺剪刀和培养土; 当年事故报道提到「钢琴内部结构异常」; 爸爸哭的时候在拼命接住空中飘落的东西; 三天后琴房地板缝隙长出嫩芽,3,4afc3d85
91200dc0,猫咪的眼睛,夜晚我从阁楼抱下一只黑猫给妈妈，妈妈看到猫的眼睛后突然尖叫起来。,"妈妈患有严重的夜盲症，她养的黑猫""煤球""会在夜晚用发光的眼睛为她引路。三个月前煤球失踪了，妈妈终日以泪洗面导致夜盲症恶化。我发现阁楼有个破洞长出了荧光蘑菇，那天看到两只发光的""眼睛""在黑暗中移动，以为是煤球回来了。其实那是两只沾了荧光蘑菇孢子的野老鼠，妈妈发现真相后既恐惧又绝望。",问题1:黑猫原本是妈妈养的吗?:是; 问题2:黑猫的眼睛会发光吗?:是; 问题3:阁楼里真的有猫吗?:不是; 问题4:发光的物体与蘑菇有关吗?:是; 问题5:妈妈最后看到的是老鼠吗?:是,妈妈有严重的夜盲症; 黑猫三个月前失踪; 阁楼有个破洞; 黑暗中会移动的发光体; 荧光蘑菇在夜间会发光; 妈妈终日以泪洗面; 煤球是猫的名字; 发光的其实是两个点; 孢子可以附着在动物身上; 妈妈的反应包含绝望情绪,2,4afc3d85
8d415ac6,闺蜜来电,"我外出旅行时，闺蜜突然打电话说""你男朋友真体贴...""，回到家后我看到了恐怖的一幕。","回到家的我发现男朋友惨死在床上，而闺蜜满身是血。原来闺蜜是个整容医生，最近因医疗事故导致精神失常，她嫉妒我和男朋友的感情，把男朋友当成了整容对象进行""手术""。电话里她说""你男朋友真体贴""是因为信号问题少听了一个字，实际她说的是""你男朋友真适合(当我的手术模型)""。",闺蜜是医生吗？:是; 闺蜜精神状态正常吗？:不是; 男朋友还活着吗？:不是; 电话内容完整吗？:不是; 闺蜜的行为和她的职业有关吗？:是,"闺蜜最近经历了一场医疗事故; 闺蜜是整容外科医生; 我外出时拜托闺蜜照顾男友; 回家时看到手术器械散落一地; 男友身上有多处""手术""痕迹; 闺蜜曾表示羡慕我们的感情; 电话信号时断时续; 闺蜜近期有异常行为记录; 现场发现了麻醉剂; 闺蜜衣服上有大量血迹但无外伤",2,c9991075
459e108b,出差归来,我去外地出差，朋友打电话说“你妻子真棒…”，第二天回到家后我崩溃了。,回到家的我，看到了妻子残缺的身体和奄奄一息的朋友。原来，因为我要去外地出差，托朋友照顾生病的妻子，朋友是个医生，但最近因工作压力大而精神恍惚，后来我才知道他患上了临时性精神错乱，他半夜发病把我妻子当成了病人，并进行了不合理的手术...而我接到朋友打来的电话说“你妻子真棒”其实是因为外地信号差的原因少听了一个字，而他真正说的是“你妻子真难救！”,问题1:朋友是医生吗？:回答1:是; 问题2:妻子生病了吗？:回答2:是; 问题3:朋友精神状态有问题吗？:回答3:是; 问题4:电话内容完整吗？:回答4:不是; 问题5:朋友对妻子做了什么？:回答5:不合理的手术,线索1:朋友是医生; 线索2:妻子近期生病; 线索3:朋友近期压力很大; 线索4:朋友精神恍惚; 线索5:电话信号不好; 线索6:朋友做了不合理的手术; 线索7:妻子身体残缺; 线索8:朋友奄奄一息; 线索9:电话内容有误解; 线索10:朋友患临时性精神错乱,2,c9991075
b6f384cc,扭曲的晚餐,我去参加一个为期一周的荒野生存训练，回来后收到朋友发来的短信“你的宠物真棒…”，回到家后我彻底崩溃了。,回到家的我，看到宠物残缺的身体和奄奄一息的朋友。原来，在我不在的这段时间，我托朋友照顾我养的珍贵宠物蜥蜴，朋友是个昆虫学家，但最近因为实验失败导致精神失常。他在照顾过程中突然发病，将蜥蜴当成了实验标本进行了解剖…而我收到的短信“你的宠物真棒…”是因为荒野信号差漏掉了最后一个字，他实际发的是“你的宠物真棒（的标本）！”。,问题1: 朋友是专业人士吗？回答1: 是的，他是昆虫学家。; 问题2: 宠物是常见的猫狗吗？回答2: 不是，是非常见宠物。; 问题3: 朋友精神正常吗？回答3: 不是，最近精神出了问题。; 问题4: 短信内容完整吗？回答4: 不是，因为信号问题漏了字。; 问题5: 朋友还活着吗？回答5: 是的，但奄奄一息。,线索1: 宠物非常特殊; 线索2: 朋友职业与动物相关; 线索3: 朋友近期精神状态异常; 线索4: 短信内容是赞扬的话; 线索5: 荒野信号很差; 线索6: 回家后看到两方都出事了; 线索7: 宠物被残忍对待; 线索8: 朋友可能产生了幻觉; 线索9: 朋友的专业知识被扭曲使用; 线索10: 短信少了关键的字,2,c9991075
1585311d,朋友来电,我去乡下出差，朋友给我打电话说“你家的猫真乖…”，第二天回到家后我崩溃了。,回到家的我，看到朋友死在沙发上，猫咪卧在一旁。原来，朋友是个兽医，但最近精神崩溃，猫咪在主人不在家时误食了朋友携带的危险药物，而朋友试图救它时被突然发病的猫咪抓伤喉咙而死。朋友在电话里说的其实是“你家的猫真该死”，但因信号问题我听错了。,朋友是兽医吗？:是; 猫咪平时温顺吗？:不是; 朋友精神状态正常吗？:不是; 猫咪误食了东西吗？:是; 朋友是被猫咪害死的吗？:是,朋友职业与动物相关; 猫咪近期行为反常; 朋友有精神问题; 药物出现在家中; 朋友死因与动物有关; 电话内容因信号问题失真; 猫咪表现异常安静; 现场有药物残留; 朋友颈部有伤口; 猫咪爪上有血迹,3,c9991075
66bbd4be,母亲与孩子,母亲在儿子生病时天天哭泣，儿子去世后却面带笑容。,母亲患有严重的抑郁症，儿子是她唯一的牵挂。儿子长期患病让母亲精神崩溃，她认为儿子的痛苦是自己造成的。某天她终于决定解脱两人——她在儿子的药里下了毒。看着儿子安详地闭上眼睛后，她露出了释怀的微笑，随后服下同样的毒药。,问题1:儿子是自然死亡吗？:不是; 问题2:母亲的笑是发自内心的吗？:是; 问题3:母亲是否亲手造成了儿子的死亡？:是; 问题4:母亲在儿子死后还活着吗？:不是; 问题5:母亲的行为是否出于爱？:是,"母亲患有严重的心理疾病; 儿子的病情一直没有好转; 邻居曾听到母亲说""这样对我们都好""; 法医检测出儿子体内有毒物; 母亲床头放着两封遗书; 药瓶上有母亲的指纹; 母亲日记里写满自责的话; 葬礼上家人发现母亲手腕有针孔; 儿子死亡时表情平静; 母亲死亡时穿着儿子的衣服",3,75a70fd3
1c69c2b2,婚礼前的微笑,新娘在婚礼彩排时全程面无表情，却在正式婚礼上对伴娘露出诡异的微笑。婚礼结束后，伴娘失踪了。,"新娘和伴娘是双胞胎姐妹，新娘一直嫉妒伴娘更受父母宠爱。在婚礼彩排时，新娘已经将伴娘杀害并藏在婚纱裙撑里。正式婚礼时的""新娘""其实是伴娘的尸体，新娘通过机关操控尸体对自己微笑。婚礼结束后，新娘将尸体永远缝进了定制婚纱的内层。",问题1:伴娘和新娘有血缘关系吗？:是; 问题2:婚礼上微笑的新娘是活人吗？:不是; 问题3:婚纱是否被特殊改造过？:是; 问题4:新娘有精神疾病吗？:不知道; 问题5:婚礼现场有人发现异常吗？:不是,"新娘的婚纱比彩排时看起来臃肿; 新娘全程没有自己走动，都是被伴郎引导; 婚礼现场闻到若有若无的香味（防腐剂）; 伴娘的手机最后定位在婚纱店; 新娘坚持要穿有裙撑的复古婚纱; 婚礼前新娘曾学习基础缝纫; 婚纱店老板提到新娘特别要求加厚内衬; 新娘在仪式后立即将婚纱""永久珍藏""; 伴娘失踪前刚做完指甲（尸体手指有相同甲油）; 新娘童年日记写着""想成为姐姐""",3,75a70fd3
cd43f613,葬礼上的微笑,弟弟在妻子的葬礼上泪流满面，却在看到遗像时突然露出诡异的微笑。,弟弟是同性恋者，从小就暗恋自己的挚友（即后来的丈夫）。挚友因父母压力与女性结婚，弟弟被迫成为伴郎。婚礼当晚弟弟将新娘推下楼梯致死，伪装成意外。葬礼上看到挚友悲痛欲绝的样子，弟弟突然意识到自己终于可以永远独占他了。,弟弟和新娘关系好吗？:不是; 弟弟有谋杀动机吗？:是; 死者是意外死亡吗？:不是; 弟弟喜欢死者吗？:不是; 弟弟和挚友认识很久吗？:是,弟弟在婚礼上担任伴郎; 新娘死亡时间是婚礼当晚; 死亡现场被伪装成意外; 弟弟有医学背景; 弟弟手机里存有挚友十年来的所有照片; 婚礼前夜弟弟曾购买大量安眠药; 新娘致命伤与楼梯高度不符; 弟弟电脑里存有谋杀计划文档; 葬礼后弟弟立刻搬进了挚友家; 挚友从未怀疑过弟弟,3,75a70fd3
cbd046b4,遗产之谜,富翁临死前将全部财产留给养子，亲生儿子却笑了。,亲生儿子其实是富翁的克隆体，富翁通过非法实验室制造了完美克隆人作为器官移植备用体。养子才是真正有血缘关系的侄子。富翁临终时良心发现，决定让克隆体（亲生儿子）继承所有财产获得自由。克隆人得知自己不是工具而是继承人时，露出了解脱的笑容。,富翁有亲生儿子吗？:是; 养子和富翁有血缘关系吗？:是; 亲生儿子是生物意义上的儿子吗？:是; 这个继承决定违反常理吗？:是; 亲生儿子知道真相吗？:是,富翁年轻时得过绝症; 实验室在富翁私人岛屿上; 亲生儿子从不参加体检; 两人DNA检测完全一致; 养子其实是侄子; 富翁经常给医院巨额捐款; 亲生儿子没有童年照片; 富翁拒绝所有骨髓捐赠; 实验室去年发生过大火; 遗嘱在火灾次日修改,3,75a70fd3
4b35b33f,血色婚纱,妹妹即将举办婚礼，姐姐为她订制了一套纯白的婚纱。婚礼当天，妹妹穿着姐姐亲手缝制的婚纱站在镜子前，突然惊恐地尖叫起来。姐姐站在她身后，露出了满意的微笑。,姐姐患有精神疾病，对妹妹有着病态的占有欲。她嫉妒妹妹即将与未婚夫结婚，于是在白色婚纱里层缝制了一层血袋。当妹妹穿上婚纱活动时，血袋破裂，鲜血染红白纱。姐姐看到妹妹惊恐痛苦的样子，误以为这是妹妹愿意为她流血的证明，因此感到满足。,问题1:这件婚纱是姐姐亲自制作的吗？回答1:是; 问题2:姐姐对妹妹有恶意吗？回答2:从姐姐的视角看不是; 问题3:妹妹的尖叫是因为身体疼痛吗？回答3:是; 问题4:婚纱的颜色发生了改变吗？回答4:是; 问题5:姐姐的行为是否经过精心设计？回答5:是,"姐姐是服装设计师; 妹妹最近总是抱怨姐姐过于粘人; 婚礼前一周有人看到姐姐购买了大量红色染料; 婚纱内衬有特殊的缝纫痕迹; 姐姐的日记本里写着""要让妹妹永远美丽""; 婚礼当天姐姐第一个到达化妆间; 妹妹试穿婚纱时并未发现异常; 姐姐特意要求亲手帮妹妹穿婚纱; 尖叫发生后，姐姐第一时间锁上了化妆间的门; 事后警方在姐姐家中发现了未使用的镇静剂",3,75a70fd3
3b0fa73d,邻居的秘密,我的邻居是个独居老人，最近行为反常，总是深夜在院子里挖土。那天我实在忍不住向他询问，他支支吾吾地说在种花。我不信，争执中推了他一把，他跌倒在花丛里。我上前扶他时，却发现花丛下的土里露出一截苍白的手指。,邻居患晚期癌症，偷偷在院子里埋葬自己养的狗。他每晚挖土是为了更换鲜花掩盖气味。我推倒他时碰倒了自制墓碑，露出的是狗的前爪模型（他按照爱犬爪印特制的）。,花丛是新种的吗？:不是; 老人之前养宠物吗？:是; 手指看起来像人类的吗？:不是; 院子里有异味吗？:是; 老人最近身体不好？:是,老人总带着园艺手套; 总在固定角落挖土; 每月15号买新鲜百合; 垃圾桶有狗毛刷; 窗台有宠物照片但不见动物; 拒绝任何人帮忙整理花园; 购买大量消毒剂; 深夜能听到压抑的咳嗽声; 曾向邮差打听动物标本店; 仓库里有黏土和模具,2,f1ba14d3
b69a8674,消失的室友,我的室友最近变得很奇怪，总用我的牙刷穿我的拖鞋，还整夜不回来。有天晚上我忍无可忍和她对质，争吵中我不小心推了她一把，她撞在墙上。当我过去扶她时，墙面突然渗出大量血迹。,室友三天前就搬走了，我因过度思念产生幻觉。每晚梦游时穿着她的拖鞋、用她的牙刷，假装她还住在这里。那晚我把衣柜镜子错当成室友争吵，推倒衣柜后镜子碎裂，我被飞溅的玻璃划伤流血。,问题1:室友真的存在吗？:不是; 问题2:血迹是真实的吗？:是; 问题3:我最近精神状态正常吗？:不是; 问题4:墙面本身会渗血吗？:不是; 问题5:那些生活用品是谁的？:是我的,室友的物品早就收拾空了; 我总记不清前一天晚上做了什么; 牙刷和拖鞋总是莫名其妙变湿; 邻居说从没看见过我的室友; 我的手上经常出现细小伤口; 衣柜的位置发生过变化; 卫生间镜子上有裂痕; 我服用过抗抑郁药物; 墙上血迹检测出是我的DNA; 租房合同显示我是唯一租客,2,f1ba14d3
d0490ae5,消失的邻居,我的邻居最近很奇怪，不但每天凌晨三点准时敲我的门，还总是穿着我失踪妻子的衣服。昨晚我忍无可忍和他对峙，却突然发现他脸上有血迹，我惊恐地后退时撞倒了身后的花瓶，花瓶碎了一地，而他却消失了。,"我的妻子一年前失踪了，我因过度思念产生了幻觉。邻居其实从未敲过门，那些都是我半夜梦游时产生的幻听。我偷穿妻子的衣服在镜前自问自答，昨晚对峙的""邻居""其实是镜中的倒影。撞碎花瓶后清醒过来，血迹是我梦游时不小心划伤的手。",邻居真的存在吗？:不是，是主角的幻觉; 妻子衣服为什么会出现在邻居身上？:其实是主角自己穿的; 血迹是怎么回事？:是主角自己受伤流的血; 凌晨三点的敲门声是真实的吗？:不是，是幻听; 花瓶为什么会碎？:主角后退时撞倒的,主角的妻子已经失踪一年; 邻居从没有正面回应过主角的质问; 主角家里有面大落地镜; 主角最近睡眠质量很差; 有人曾看到主角半夜在小区游荡; 主角衣柜里有女性衣物; 主角手上常有不明原因的伤痕; 警察确认邻居那段时间在外地出差; 监控从未拍到过有人凌晨敲门; 花瓶碎片上有主角的指纹和血迹,3,f1ba14d3
